% Model:              com39 AlGaAs SiO2.mph
% Version:            COMSOL 6.3.0.290
% Date:               Jun 15 2025, 01:55
% Table:              wd700 Dp v3 com39 AlGaAs SiO2 - Disp v3
% wcor (nm)                                       wlp (nm)                                          Effective mode index (1)                          frp (1/s)                                         omp (rad/s)                                       rneff (1)                                         beta (1/m)                                        ng_beta (1)                                       ng_rneff (1)
700                                               1200                                              3.0112376988637726+7.551878324700048E-16i         2.498270483333333E14                              1.5697096394240442E15                             3.0112376988637726                                1.5766803721605102E7                              8.952465548919116E-16                             4.440892098500626E-16
700                                               1220                                              2.998296544852211-5.026328491942938E-16i          2.4573152295081962E14                             1.5439766945154532E15                             2.998296544852211                                 1.544168262064158E7                               0                                                 4.440892098500626E-16
700                                               1240                                              2.9854453891843207                                2.4176811129032253E14                             1.5190738446039135E15                             2.9854453891843207                                1.5127505326379001E7                              0                                                 0
700                                               1260                                              2.9726723487411357-8.703121512902392E-16i         2.379305222222222E14                              1.4949615613562325E15                             2.9726723487411357                                1.4823691448150264E7                              1.9740186535366653E-15                            1.7763568394002505E-15
700                                               1280                                              2.9599665615576733-1.859510678856102E-15i         2.3421285781249997E14                             1.4716027869600412E15                             2.9599665615576733                                1.4529701882282851E7                              0                                                 -4.440892098500626E-16
700                                               1300                                              2.9473180845904303-4.083777366836107E-15i         2.3060958307692303E14                             1.448962744083733E15                              2.9473180845904303                                1.4245035142064054E7                              0                                                 4.440892098500626E-16
700                                               1320                                              2.9347178033851598-7.53251212218225E-15i          2.2711549848484847E14                             1.4270087631127675E15                             2.9347178033851598                                1.3969224077990899E7                              0                                                 0
700                                               1340                                              2.922157352096918-1.5070069802576264E-14i         2.2372571492537312E14                             1.405710124857353E15                              2.922157352096918                                 1.370183294027027E7                               -5.581613590152486E-16                            -4.440892098500626E-16
700                                               1360                                              2.90962904254054-2.674154430995741E-14i           2.2043563088235294E14                             1.3850379171388628E15                             2.90962904254054                                  1.3442454742230682E7                              1.7248416957584157E-15                            8.881784197001252E-16
700                                               1380                                              2.897125801138556-4.831316629605729E-14i          2.1724091159420288E14                             1.364964903846995E15                              2.897125801138556                                 1.31907088889599E7                                5.919817844222764E-16                             4.440892098500626E-16
700                                               1400                                              2.8846411127936844-8.745734631853114E-14i         2.1413746999999997E14                             1.3454654052206092E15                             2.8846411127936844                                1.2946239040279606E7                              0                                                 -4.440892098500626E-16
700                                               1420                                              2.872168970847634-1.5301832962390358E-13i         2.1112144929577462E14                             1.3265151882456712E15                             2.872168970847634                                 1.2708711181244344E7                              0                                                 4.440892098500626E-16
700                                               1440                                              2.859703832402513-2.6559259815994997E-13i         2.081892069444444E14                              1.3080913661867032E15                             2.859703832402513                                 1.2477811876830984E7                              -9.668662792832644E-16                            -1.3322676295501878E-15
700                                               1460                                              2.8472405783784525-4.567979490945261E-13i         2.0533729999999997E14                             1.2901723063759268E15                             2.8472405783784525                                1.2253246690460958E7                              0                                                 0
700                                               1480                                              2.83477447776399-7.728625667261063E-13i           2.025624716216216E14                              1.2727375454789548E15                             2.83477447776399                                  1.203473874855026E7                               6.80884740915015E-16                              8.881784197001252E-16
700                                               1499.9999999999998                                2.8223011555867985-1.2899036339029886E-12i        1.9986163866666666E14                             1.2557677115392355E15                             2.8223011555867985                                1.1822027435479295E7                              0                                                 4.440892098500626E-16
700                                               1520                                              2.809816564193119-2.129365026845597E-12i          1.9723188026315788E14                             1.239244452176877E15                              2.809816564193119                                 1.161486720526844E7                               0                                                 0
700                                               1540                                              2.7973169574768493-3.47445858339908E-12i          1.9467042727272725E14                             1.223150368382372E15                              2.7973169574768493                                1.141302649788496E7                               0                                                 0
700                                               1560                                              2.784798867743734-5.6019852939199755E-12i         1.9217465256410256E14                             1.207468953403111E15                              2.784798867743734                                 1.1216286749524215E7                              3.782416694418326E-16                             4.440892098500626E-16
700                                               1580                                              2.772259084935984-8.939266375594236E-12i          1.8974206202531644E14                             1.192184536271426E15                              2.772259084935984                                 1.1024441487446139E7                              -3.8800234368614025E-16                           0
700                                               1600                                              2.759694637975469-1.4119024813936749E-11i         1.8737028624999997E14                             1.177282229568033E15                              2.759694637975469                                 1.0837295501018595E7                              -7.957747154594768E-16                            -4.440892098500626E-16
700                                               1620                                              2.7471027780137187-2.207220288554859E-11i         1.8505707283950616E14                             1.1627478810548475E15                             2.7471027780137187                                1.0654664081560506E7                              4.0789671157262713E-16                            4.440892098500626E-16
700                                               1640                                              2.734480963401866-3.418499495034986E-11i          1.8280027926829266E14                             1.1485680288468615E15                             2.734480963401866                                 1.0476372324395658E7                              4.1803040521480647E-16                            0
700                                               1660                                              2.7218268462163175-5.2453044151426484E-11i        1.8059786626506022E14                             1.1347298598246102E15                             2.7218268462163175                                1.0302254487248985E7                              -8.565768773125525E-16                            -8.881784197001252E-16
700                                               1680                                              2.7091382601952003-7.978564948501401E-11i         1.7844789166666666E14                             1.1212211710171745E15                             2.7091382601952003                                1.0132153399747947E7                              4.386708118970366E-16                             0
700                                               1700                                              2.6964132099576945-1.203267407005276E-10i         1.763485047058823E14                              1.1080303337110899E15                             2.6964132099576945                                9965919.919347722                                 -4.491775249370875E-16                            -8.881784197001252E-16
700                                               1719.9999999999998                                2.6836498613932687-1.7998050766939785E-10i        1.742979406976744E14                              1.0951462600632866E15                             2.6836498613932687                                9803412.429488787                                 0                                                 -4.440892098500626E-16
700                                               1740                                              2.6708465331210367-2.670897134046073E-10i         1.72294516091954E14                               1.0825583720165821E15                             2.6708465331210367                                9644496.376228524                                 -4.70563970415061E-16                             -4.440892098500626E-16
700                                               1759.9999999999998                                2.6580016889310802-3.933507220944337E-10i         1.7033662386363634E14                             1.0702565723345755E15                             2.6580016889310802                                9489043.839971753                                 -4.814437028529835E-16                            -4.440892098500626E-16
700                                               1780                                              2.64511393112975-5.750484562267225E-10i           1.6842272921348312E14                             1.0582312175892432E15                             2.64511393112975                                  9336933.139264314                                 -4.924477750901967E-16                            0
700                                               1800                                              2.6321819947198213-8.347227504088183E-10i         1.6655136555555553E14                             1.0464730929493628E15                             2.6321819947198213                                9188048.463914575                                 0                                                 -4.440892098500626E-16
