% Model:              com39 AlGaAs SiO2.mph
% Version:            COMSOL 6.3.0.290
% Date:               Jun 15 2025, 01:55
% Table:              wd800 Dp v3 com39 AlGaAs SiO2 - Disp v3
% wcor (nm)                                       wlp (nm)                                          Effective mode index (1)                          frp (1/s)                                         omp (rad/s)                                       rneff (1)                                         beta (1/m)                                        ng_beta (1)                                       ng_rneff (1)
800                                               1499.9999999999998                                2.8640095525765137-1.4061181274697458E-12i        1.9986163866666666E14                             1.2557677115392355E15                             2.8640095525765137                                1.1996735160247155E7                              1.0491170565139587E-15                            8.881784197001252E-16
800                                               1520                                              2.852722193636092-2.255390268679593E-12i          1.9723188026315788E14                             1.239244452176877E15                              2.852722193636092                                 1.1792225113499612E7                              3.59093340351089E-16                              4.440892098500626E-16
800                                               1540                                              2.8414381444142274-3.5797035295466097E-12i        1.9467042727272725E14                             1.223150368382372E15                              2.8414381444142274                                1.1593040519638374E7                              0                                                 0
800                                               1560                                              2.8301539473550847-5.618037408878637E-12i         1.9217465256410256E14                             1.207468953403111E15                              2.8301539473550847                                1.139896262761396E7                               0                                                 4.440892098500626E-16
800                                               1580                                              2.818866393477284-8.728782651998826E-12i          1.8974206202531644E14                             1.192184536271426E15                              2.818866393477284                                 1.1209784750885304E7                              -7.760046873722805E-16                            -4.440892098500626E-16
800                                               1600                                              2.8075725030254826-1.3427838587644875E-11i        1.8737028624999997E14                             1.177282229568033E15                              2.8075725030254826                                1.1025311437406952E7                              0                                                 0
800                                               1620                                              2.7962695079855466-2.0463564762298367E-11i        1.8505707283950616E14                             1.1627478810548475E15                             2.7962695079855466                                1.084535770832659E7                               0                                                 4.440892098500626E-16
800                                               1640                                              2.7849548362742222-3.0900676865404287E-11i        1.8280027926829266E14                             1.1485680288468615E15                             2.7849548362742222                                1.0669748358803E7                                 -4.1803040521480647E-16                           -4.440892098500626E-16
800                                               1660                                              2.773626097436037-4.625515657914777E-11i          1.8059786626506022E14                             1.1347298598246102E15                             2.773626097436037                                 1.0498317315072266E7                              -8.565768773125525E-16                            -8.881784197001252E-16
800                                               1680                                              2.7622810696996-6.865891134644936E-11i            1.7844789166666666E14                             1.1212211710171745E15                             2.7622810696996                                   1.0330907042521928E7                              -4.386708118970366E-16                            -4.440892098500626E-16
800                                               1700                                              2.750917688262231-1.0108617594867078E-10i         1.763485047058823E14                              1.1080303337110899E15                             2.750917688262231                                 1.0167368000088047E7                              0                                                 -4.440892098500626E-16
800                                               1719.9999999999998                                2.739534034686919-1.4766698741336608E-10i         1.742979406976744E14                              1.0951462600632866E15                             2.739534034686919                                 1.0007558136780964E7                              -4.598085777764289E-16                            -8.881784197001252E-16
800                                               1740                                              2.728128327308322-2.140928624881268E-10i          1.72294516091954E14                               1.0825583720165821E15                             2.728128327308322                                 9851342.42657705                                  0                                                 0
800                                               1759.9999999999998                                2.7166989125561054-3.08142823938199E-10i          1.7033662386363634E14                             1.0702565723345755E15                             2.7166989125561054                                9698592.438297316                                 -4.814437028529835E-16                            -4.440892098500626E-16
800                                               1780                                              2.705244257113988-4.404034839594607E-10i          1.6842272921348312E14                             1.0582312175892432E15                             2.705244257113988                                 9549185.937432898                                 0                                                 0
800                                               1800                                              2.693762940841883-6.251744300591681E-10i          1.6655136555555553E14                             1.0464730929493628E15                             2.693762940841883                                 9403006.517179217                                 0                                                 -4.440892098500626E-16
