% Model:              com39 AlGaAs SiO2.mph
% Version:            COMSOL 6.3.0.290
% Date:               Jun 15 2025, 01:54
% Table:              wd600 Dp v3 com39 AlGaAs SiO2 - Disp v3
% wcor (nm)                                       wlp (nm)                                          Effective mode index (1)                          frp (1/s)                                         omp (rad/s)                                       rneff (1)                                         beta (1/m)                                        ng_beta (1)                                       ng_rneff (1)
600                                               1200                                              2.971550299602856                                 2.498270483333333E14                              1.5697096394240442E15                             2.971550299602856                                 1.5559000985008135E7                              4.476232774459558E-16                             8.881784197001252E-16
600                                               1220                                              2.9571902511331687-5.902468334459339E-16i         2.4573152295081962E14                             1.5439766945154532E15                             2.9571902511331687                                1.5229978964307077E7                              0                                                 0
600                                               1240                                              2.9428936476405494-9.055070979689858E-16i         2.4176811129032253E14                             1.5190738446039135E15                             2.9428936476405494                                1.4911892038263898E7                              0                                                 -4.440892098500626E-16
600                                               1260                                              2.928648501582208+3.875416955811622E-16i          2.379305222222222E14                              1.4949615613562325E15                             2.928648501582208                                 1.460415971034511E7                               1.480513990152499E-15                             1.3322676295501878E-15
600                                               1280                                              2.9144438541519775-2.5314193966869835E-15i        2.3421285781249997E14                             1.4716027869600412E15                             2.9144438541519775                                1.4306242814849645E7                              -5.092958178940653E-16                            -4.440892098500626E-16
600                                               1300                                              2.9002696738595435-4.009992688291355E-15i         2.3060958307692303E14                             1.448962744083733E15                              2.9002696738595435                                1.401763984742524E7                               -5.253356520025454E-16                            0
600                                               1320                                              2.8861167670667065-7.2232006707028E-15i           2.2711549848484847E14                             1.4270087631127675E15                             2.8861167670667065                                1.3737883686089529E7                              5.416241657096064E-16                             4.440892098500626E-16
600                                               1340                                              2.8719766989373574-1.602171628378821E-14i         2.2372571492537312E14                             1.405710124857353E15                              2.8719766989373574                                1.3466538654720396E7                              -5.581613590152486E-16                            0
600                                               1360                                              2.8578417234831623-2.9269075958544716E-14i        2.2043563088235294E14                             1.3850379171388628E15                             2.8578417234831623                                1.32031978876722E7                                5.749472319194719E-16                             8.881784197001252E-16
600                                               1380                                              2.8437047215771902-5.357704202891232E-14i         2.1724091159420288E14                             1.364964903846995E15                              2.8437047215771902                                1.2947480959834069E7                              1.1839635688445528E-15                            4.440892098500626E-16
600                                               1400                                              2.829559145967389-1.0243156145588148E-13i         2.1413746999999997E14                             1.3454654052206092E15                             2.829559145967389                                 1.2699031751241367E7                              -6.09265016523662E-16                             -4.440892098500626E-16
600                                               1420                                              2.815398972457187-1.8568440777653018E-13i         2.1112144929577462E14                             1.3265151882456712E15                             2.815398972457187                                 1.2457516519430634E7                              0                                                 4.440892098500626E-16
600                                               1440                                              2.8012186565353523-3.340958862963397E-13i         2.081892069444444E14                              1.3080913661867032E15                             2.8012186565353523                                1.2222622156208515E7                              -1.2891550390443525E-15                           -8.881784197001252E-16
600                                               1460                                              2.7870130948347223-5.942989754668864E-13i         2.0533729999999997E14                             1.2901723063759268E15                             2.7870130948347223                                1.1994054608481254E7                              3.3130339520965256E-16                            4.440892098500626E-16
600                                               1480                                              2.77277759088314-1.0347023118387044E-12i          2.025624716216216E14                              1.2727375454789548E15                             2.77277759088314                                  1.1771537445347128E7                              6.80884740915015E-16                              8.881784197001252E-16
600                                               1499.9999999999998                                2.758507824680842-1.7870708969198131E-12i         1.9986163866666666E14                             1.2557677115392355E15                             2.758507824680842                                 1.1554810555849725E7                              6.994113710093058E-16                             4.440892098500626E-16
600                                               1520                                              2.7441998257003637-3.041304685136932E-12i         1.9723188026315788E14                             1.239244452176877E15                              2.7441998257003637                                1.1343628963687701E7                              0                                                 4.440892098500626E-16
600                                               1540                                              2.7298499489571864-5.117948152601033E-12i         1.9467042727272725E14                             1.223150368382372E15                              2.7298499489571864                                1.1137761746813463E7                              0                                                 0
600                                               1560                                              2.7154548538455043-8.514869895934231E-12i         1.9217465256410256E14                             1.207468953403111E15                              2.7154548538455043                                1.0936991051276643E7                              -3.782416694418326E-16                            0
600                                               1580                                              2.701011485472252-1.4002204068971707E-11i         1.8974206202531644E14                             1.192184536271426E15                              2.701011485472252                                 1.0741111189900354E7                              -3.8800234368614025E-16                           0
600                                               1600                                              2.6865170582572455-2.27783608326829E-11i          1.8737028624999997E14                             1.177282229568033E15                              2.6865170582572455                                1.0549927817455778E7                              -7.957747154594768E-16                            -8.881784197001252E-16
600                                               1620                                              2.6719690415967747-3.667525210054118E-11i         1.8505707283950616E14                             1.1627478810548475E15                             2.6719690415967747                                1.0363257174938008E7                              4.0789671157262713E-16                            4.440892098500626E-16
600                                               1640                                              2.6573651474137723-5.846794203551613E-11i         1.8280027926829266E14                             1.1485680288468615E15                             2.6573651474137723                                1.0180925396366663E7                              -4.1803040521480647E-16                           -4.440892098500626E-16
600                                               1660                                              2.6427033194406953-9.232051271047955E-11i         1.8059786626506022E14                             1.1347298598246102E15                             2.6427033194406953                                1.000276787225572E7                               -4.2828843865627626E-16                           -4.440892098500626E-16
600                                               1680                                              2.6279817241004246-1.4444686183877608E-10i        1.7844789166666666E14                             1.1212211710171745E15                             2.6279817241004246                                9828628.664526349                                 0                                                 0
600                                               1700                                              2.613198742868732-2.2401466492927922E-10i         1.763485047058823E14                              1.1080303337110899E15                             2.613198742868732                                 9658359.968195869                                 -8.98355049874175E-16                             -8.881784197001252E-16
600                                               1719.9999999999998                                2.598352966015942-3.4446594779951847E-10i         1.742979406976744E14                              1.0951462600632866E15                             2.598352966015942                                 9491821.615661548                                 -4.598085777764289E-16                            -4.440892098500626E-16
600                                               1740                                              2.5834431876397312-5.253632135207649E-10i         1.72294516091954E14                               1.0825583720165821E15                             2.5834431876397312                                9328880.619833995                                 0                                                 0
600                                               1759.9999999999998                                2.568468401912077-7.949530519229522E-10i          1.7033662386363634E14                             1.0702565723345755E15                             2.568468401912077                                 9169410.75275511                                  0                                                 -4.440892098500626E-16
600                                               1780                                              2.55342780047375-1.1937583646818203E-9i           1.6842272921348312E14                             1.0582312175892432E15                             2.55342780047375                                  9013292.156674469                                 0                                                 4.440892098500626E-16
600                                               1800                                              2.538320770918565-1.7794798572242351E-9i          1.6655136555555553E14                             1.0464730929493628E15                             2.538320770918565                                 8860410.984857935                                 -5.035761871267002E-16                            -4.440892098500626E-16
